['701', 'describe', 'history', 'oil', 'industry'] GX272-04-9612328.txt
['701', 'describe', 'history', 'oil', 'industry'] GX226-97-13151308.txt
['701', 'describe', 'history', 'oil', 'industry'] GX017-08-6496610.txt
['701', 'describe', 'history', 'oil', 'industry'] GX231-53-10990040.txt
['701', 'describe', 'history', 'oil', 'industry'] GX234-73-2149403.txt
['701', 'describe', 'history', 'oil', 'industry'] GX042-59-10940116.txt
['701', 'describe', 'history', 'oil', 'industry'] GX240-04-5669242.txt
['701', 'describe', 'history', 'oil', 'industry'] GX230-58-6223621.txt
['701', 'describe', 'history', 'oil', 'industry'] GX253-16-13500810.txt
['701', 'describe', 'history', 'oil', 'industry'] GX262-86-10646381.txt
['701', 'describe', 'history', 'oil', 'industry'] GX240-55-7796098.txt
['701', 'describe', 'history', 'oil', 'industry'] GX240-66-1033049.txt
['701', 'describe', 'history', 'oil', 'industry'] GX122-41-13207106.txt
['701', 'describe', 'history', 'oil', 'industry'] GX233-87-12892048.txt
['701', 'describe', 'history', 'oil', 'industry'] GX059-73-7663509.txt
['701', 'describe', 'history', 'oil', 'industry'] GX259-74-16714984.txt
['701', 'describe', 'history', 'oil', 'industry'] GX105-18-6215668.txt
['701', 'describe', 'history', 'oil', 'industry'] GX027-40-2005861.txt
['701', 'describe', 'history', 'oil', 'industry'] GX027-16-1696240.txt
['701', 'describe', 'history', 'oil', 'industry'] GX026-89-14280859.txt
['701', 'describe', 'history', 'oil', 'industry'] GX027-59-12212600.txt
['701', 'describe', 'history', 'oil', 'industry'] GX256-38-15015789.txt
['701', 'describe', 'history', 'oil', 'industry'] GX236-55-15001500.txt
['701', 'describe', 'history', 'oil', 'industry'] GX066-68-11598655.txt
['701', 'describe', 'history', 'oil', 'industry'] GX228-89-9137293.txt
['701', 'describe', 'history', 'oil', 'industry'] GX255-56-12408598.txt
['701', 'describe', 'history', 'oil', 'industry'] GX038-36-11389392.txt
['701', 'describe', 'history', 'oil', 'industry'] GX247-47-16651704.txt
['701', 'describe', 'history', 'oil', 'industry'] GX253-04-14145023.txt
['701', 'describe', 'history', 'oil', 'industry'] GX230-72-2449988.txt
['701', 'describe', 'history', 'oil', 'industry'] GX263-05-15714455.txt
['701', 'describe', 'history', 'oil', 'industry'] GX234-97-0559189.txt
['701', 'describe', 'history', 'oil', 'industry'] GX261-99-14766455.txt
['701', 'describe', 'history', 'oil', 'industry'] GX256-79-0365749.txt
['701', 'describe', 'history', 'oil', 'industry'] GX261-71-15887160.txt
['701', 'describe', 'history', 'oil', 'industry'] GX009-65-1341648.txt
['701', 'describe', 'history', 'oil', 'industry'] GX237-37-9058434.txt
['701', 'describe', 'history', 'oil', 'industry'] GX059-28-7601493.txt
['701', 'describe', 'history', 'oil', 'industry'] GX239-40-7244913.txt
['701', 'describe', 'history', 'oil', 'industry'] GX234-97-12045326.txt
['701', 'describe', 'history', 'oil', 'industry'] GX243-65-10807124.txt
['701', 'describe', 'history', 'oil', 'industry'] GX269-70-6701500.txt
['701', 'describe', 'history', 'oil', 'industry'] GX272-78-14721677.txt
['701', 'describe', 'history', 'oil', 'industry'] GX010-06-10730361.txt
['701', 'describe', 'history', 'oil', 'industry'] GX265-04-4709239.txt
['701', 'describe', 'history', 'oil', 'industry'] GX043-21-11581496.txt
['701', 'describe', 'history', 'oil', 'industry'] GX009-19-10005177.txt
['701', 'describe', 'history', 'oil', 'industry'] GX227-53-8692184.txt
['701', 'describe', 'history', 'oil', 'industry'] GX249-93-7527985.txt
['701', 'describe', 'history', 'oil', 'industry'] GX262-22-16536810.txt
['701', 'describe', 'history', 'oil', 'industry'] GX268-35-11839875.txt
['701', 'describe', 'history', 'oil', 'industry'] GX264-30-10432142.txt
['701', 'describe', 'history', 'oil', 'industry'] GX251-49-9297523.txt
['701', 'describe', 'history', 'oil', 'industry'] GX242-22-13266483.txt
['701', 'describe', 'history', 'oil', 'industry'] GX261-14-7018555.txt
['701', 'describe', 'history', 'oil', 'industry'] GX236-46-3022879.txt
['701', 'describe', 'history', 'oil', 'industry'] GX054-65-3680252.txt
['701', 'describe', 'history', 'oil', 'industry'] GX045-34-5892248.txt
['701', 'describe', 'history', 'oil', 'industry'] GX271-90-6349719.txt
['701', 'describe', 'history', 'oil', 'industry'] GX251-52-7467576.txt
['701', 'describe', 'history', 'oil', 'industry'] GX253-38-10355527.txt
['701', 'describe', 'history', 'oil', 'industry'] GX013-28-5831763.txt
['701', 'describe', 'history', 'oil', 'industry'] GX239-05-12330134.txt
['701', 'describe', 'history', 'oil', 'industry'] GX008-18-14572161.txt
['701', 'describe', 'history', 'oil', 'industry'] GX046-56-1876649.txt
['701', 'describe', 'history', 'oil', 'industry'] GX262-28-10252024.txt
['701', 'describe', 'history', 'oil', 'industry'] GX264-71-7429003.txt
['701', 'describe', 'history', 'oil', 'industry'] GX251-17-4053346.txt
['701', 'describe', 'history', 'oil', 'industry'] GX237-31-16468550.txt
['701', 'describe', 'history', 'oil', 'industry'] GX124-47-14660533.txt
['701', 'describe', 'history', 'oil', 'industry'] GX006-76-15945590.txt
['701', 'describe', 'history', 'oil', 'industry'] GX231-19-5363431.txt
['701', 'describe', 'history', 'oil', 'industry'] GX254-86-9270915.txt
['701', 'describe', 'history', 'oil', 'industry'] GX252-95-7775147.txt
['701', 'describe', 'history', 'oil', 'industry'] GX258-04-3702569.txt
['701', 'describe', 'history', 'oil', 'industry'] GX033-05-7334932.txt
['701', 'describe', 'history', 'oil', 'industry'] GX006-29-9238736.txt
['701', 'describe', 'history', 'oil', 'industry'] GX234-97-6393069.txt
['701', 'describe', 'history', 'oil', 'industry'] GX241-99-3035779.txt
['701', 'describe', 'history', 'oil', 'industry'] GX236-20-3341877.txt
['701', 'describe', 'history', 'oil', 'industry'] GX265-50-0825207.txt
['701', 'describe', 'history', 'oil', 'industry'] GX261-92-9974244.txt
['701', 'describe', 'history', 'oil', 'industry'] GX040-74-3156791.txt
['701', 'describe', 'history', 'oil', 'industry'] GX065-74-6760912.txt
['701', 'describe', 'history', 'oil', 'industry'] GX261-03-9419964.txt
['701', 'describe', 'history', 'oil', 'industry'] GX031-60-2142232.txt
['701', 'describe', 'history', 'oil', 'industry'] GX238-03-3210798.txt
['701', 'describe', 'history', 'oil', 'industry'] GX255-34-4319229.txt
['701', 'describe', 'history', 'oil', 'industry'] GX260-35-0819829.txt
['701', 'describe', 'history', 'oil', 'industry'] GX257-76-4424064.txt
['701', 'describe', 'history', 'oil', 'industry'] GX142-16-4980613.txt
['701', 'describe', 'history', 'oil', 'industry'] GX067-03-1254281.txt
['701', 'describe', 'history', 'oil', 'industry'] GX262-63-16365379.txt
['701', 'describe', 'history', 'oil', 'industry'] GX255-38-8930635.txt
['701', 'describe', 'history', 'oil', 'industry'] GX235-03-16342569.txt
['701', 'describe', 'history', 'oil', 'industry'] GX267-36-5641094.txt
['701', 'describe', 'history', 'oil', 'industry'] GX270-89-3515323.txt
['701', 'describe', 'history', 'oil', 'industry'] GX013-02-1888344.txt
['701', 'describe', 'history', 'oil', 'industry'] GX241-58-8773705.txt
['701', 'describe', 'history', 'oil', 'industry'] GX031-59-6482903.txt
['701', 'describe', 'history', 'oil', 'industry'] GX266-34-16466550.txt
['701', 'describe', 'history', 'oil', 'industry'] GX255-59-12399984.txt
['701', 'describe', 'history', 'oil', 'industry'] GX004-05-11052588.txt
['701', 'describe', 'history', 'oil', 'industry'] GX248-71-7639808.txt
['701', 'describe', 'history', 'oil', 'industry'] GX190-91-12201137.txt
['701', 'describe', 'history', 'oil', 'industry'] GX252-93-13844006.txt
['701', 'describe', 'history', 'oil', 'industry'] GX145-99-9783129.txt
['701', 'describe', 'history', 'oil', 'industry'] GX270-15-16082579.txt
['701', 'describe', 'history', 'oil', 'industry'] GX260-73-13860753.txt
['701', 'describe', 'history', 'oil', 'industry'] GX270-51-5714878.txt
['701', 'describe', 'history', 'oil', 'industry'] GX063-18-3591274.txt
['701', 'describe', 'history', 'oil', 'industry'] GX256-83-14799903.txt
['701', 'describe', 'history', 'oil', 'industry'] GX070-77-5787454.txt
['701', 'describe', 'history', 'oil', 'industry'] GX265-12-14623521.txt
['701', 'describe', 'history', 'oil', 'industry'] GX036-36-8703297.txt
['701', 'describe', 'history', 'oil', 'industry'] GX262-58-6470241.txt
['701', 'describe', 'history', 'oil', 'industry'] GX130-84-16036993.txt
['701', 'describe', 'history', 'oil', 'industry'] GX268-22-14058611.txt
['701', 'describe', 'history', 'oil', 'industry'] GX229-87-1373283.txt
['701', 'describe', 'history', 'oil', 'industry'] GX000-38-10952535.txt
['701', 'describe', 'history', 'oil', 'industry'] GX266-03-15444557.txt
['701', 'describe', 'history', 'oil', 'industry'] GX021-08-13644385.txt
['701', 'describe', 'history', 'oil', 'industry'] GX260-19-16435210.txt
['701', 'describe', 'history', 'oil', 'industry'] GX232-43-0102505.txt
['701', 'describe', 'history', 'oil', 'industry'] GX066-68-9899254.txt
['701', 'describe', 'history', 'oil', 'industry'] GX252-94-7854611.txt
['701', 'describe', 'history', 'oil', 'industry'] GX251-43-4660999.txt
['701', 'describe', 'history', 'oil', 'industry'] GX242-87-9041954.txt
['701', 'describe', 'history', 'oil', 'industry'] GX263-03-12599906.txt
['701', 'describe', 'history', 'oil', 'industry'] GX251-30-9133269.txt
['701', 'describe', 'history', 'oil', 'industry'] GX257-97-5713028.txt
['701', 'describe', 'history', 'oil', 'industry'] GX239-51-11254028.txt
['701', 'describe', 'history', 'oil', 'industry'] GX229-65-4592581.txt
['701', 'describe', 'history', 'oil', 'industry'] GX074-29-9819284.txt
['701', 'describe', 'history', 'oil', 'industry'] GX231-38-0929225.txt
['701', 'describe', 'history', 'oil', 'industry'] GX016-66-7308971.txt
['701', 'describe', 'history', 'oil', 'industry'] GX046-03-15262419.txt
['701', 'describe', 'history', 'oil', 'industry'] GX270-60-13875830.txt
['701', 'describe', 'history', 'oil', 'industry'] GX268-85-3558086.txt
['701', 'describe', 'history', 'oil', 'industry'] GX037-02-16639200.txt
['701', 'describe', 'history', 'oil', 'industry'] GX262-64-14234180.txt
['701', 'describe', 'history', 'oil', 'industry'] GX230-07-9677122.txt
['701', 'describe', 'history', 'oil', 'industry'] GX230-14-13301582.txt
['701', 'describe', 'history', 'oil', 'industry'] GX044-74-14809338.txt
['701', 'describe', 'history', 'oil', 'industry'] GX076-41-14329726.txt
['701', 'describe', 'history', 'oil', 'industry'] GX270-81-7625954.txt
['701', 'describe', 'history', 'oil', 'industry'] GX271-06-13456746.txt
['701', 'describe', 'history', 'oil', 'industry'] GX229-61-7984984.txt
['701', 'describe', 'history', 'oil', 'industry'] GX235-39-10549589.txt
['701', 'describe', 'history', 'oil', 'industry'] GX254-17-3441663.txt
['701', 'describe', 'history', 'oil', 'industry'] GX233-75-6074326.txt
['701', 'describe', 'history', 'oil', 'industry'] GX229-98-14821355.txt
['701', 'describe', 'history', 'oil', 'industry'] GX055-95-10271296.txt
['701', 'describe', 'history', 'oil', 'industry'] GX252-01-6684695.txt
['701', 'describe', 'history', 'oil', 'industry'] GX255-96-15161567.txt
['701', 'describe', 'history', 'oil', 'industry'] GX064-43-9736582.txt
['701', 'describe', 'history', 'oil', 'industry'] GX240-57-0734067.txt
['701', 'describe', 'history', 'oil', 'industry'] GX046-56-0061099.txt
['701', 'describe', 'history', 'oil', 'industry'] GX242-10-8963548.txt
['701', 'describe', 'history', 'oil', 'industry'] GX056-31-4159149.txt
['701', 'describe', 'history', 'oil', 'industry'] GX128-96-12152039.txt
['701', 'describe', 'history', 'oil', 'industry'] GX260-16-8847585.txt
['701', 'describe', 'history', 'oil', 'industry'] GX250-33-4540077.txt
['701', 'describe', 'history', 'oil', 'industry'] GX267-76-6000496.txt
['701', 'describe', 'history', 'oil', 'industry'] GX253-43-11798479.txt
['701', 'describe', 'history', 'oil', 'industry'] GX266-25-10567868.txt
['701', 'describe', 'history', 'oil', 'industry'] GX184-68-7173870.txt
['701', 'describe', 'history', 'oil', 'industry'] GX037-81-11675615.txt
['701', 'describe', 'history', 'oil', 'industry'] GX241-45-10574793.txt
['701', 'describe', 'history', 'oil', 'industry'] GX268-53-16362245.txt
['701', 'describe', 'history', 'oil', 'industry'] GX251-70-3271734.txt
['701', 'describe', 'history', 'oil', 'industry'] GX233-37-7282946.txt
['701', 'describe', 'history', 'oil', 'industry'] GX266-12-0623161.txt
['701', 'describe', 'history', 'oil', 'industry'] GX024-71-15217058.txt
['701', 'describe', 'history', 'oil', 'industry'] GX262-20-16148678.txt
['701', 'describe', 'history', 'oil', 'industry'] GX238-60-14205244.txt
['701', 'describe', 'history', 'oil', 'industry'] GX268-36-15570314.txt
['701', 'describe', 'history', 'oil', 'industry'] GX002-89-3295043.txt
['701', 'describe', 'history', 'oil', 'industry'] GX029-06-4661961.txt
['701', 'describe', 'history', 'oil', 'industry'] GX004-81-3891531.txt
['701', 'describe', 'history', 'oil', 'industry'] GX230-74-16414056.txt
['701', 'describe', 'history', 'oil', 'industry'] GX255-68-11048911.txt
['701', 'describe', 'history', 'oil', 'industry'] GX257-90-0727927.txt
['701', 'describe', 'history', 'oil', 'industry'] GX022-59-12383077.txt
['701', 'describe', 'history', 'oil', 'industry'] GX261-63-7195123.txt
['701', 'describe', 'history', 'oil', 'industry'] GX254-71-10322303.txt
['701', 'describe', 'history', 'oil', 'industry'] GX230-64-10273372.txt
['701', 'describe', 'history', 'oil', 'industry'] GX233-16-2747850.txt
['701', 'describe', 'history', 'oil', 'industry'] GX066-32-13481922.txt
['701', 'describe', 'history', 'oil', 'industry'] GX269-54-0429623.txt
['701', 'describe', 'history', 'oil', 'industry'] GX263-63-13628209.txt
['701', 'describe', 'history', 'oil', 'industry'] GX267-53-7097702.txt
['701', 'describe', 'history', 'oil', 'industry'] GX252-85-4890981.txt
['701', 'describe', 'history', 'oil', 'industry'] GX256-74-0169963.txt
['701', 'describe', 'history', 'oil', 'industry'] GX229-36-11081343.txt
['701', 'describe', 'history', 'oil', 'industry'] GX257-12-7313788.txt
['701', 'describe', 'history', 'oil', 'industry'] GX054-62-7501814.txt
['701', 'describe', 'history', 'oil', 'industry'] GX123-51-14041513.txt
['701', 'describe', 'history', 'oil', 'industry'] GX270-48-6707512.txt
['701', 'describe', 'history', 'oil', 'industry'] GX253-41-3663663.txt
['701', 'describe', 'history', 'oil', 'industry'] GX239-44-9365117.txt
['701', 'describe', 'history', 'oil', 'industry'] GX254-43-2994267.txt
['701', 'describe', 'history', 'oil', 'industry'] GX269-11-9013655.txt
['701', 'describe', 'history', 'oil', 'industry'] GX121-67-1644408.txt
['701', 'describe', 'history', 'oil', 'industry'] GX008-29-13877144.txt
['701', 'describe', 'history', 'oil', 'industry'] GX255-61-1354136.txt
['701', 'describe', 'history', 'oil', 'industry'] GX233-08-1740926.txt
['702', 'pearl', 'farming', 'operations', 'actual', 'farming', 'operations', 'described', 'culturing', 'pearls', 'japanese', 'pearl', 'productions', 'status', 'pearl', 'farming', 'production'] GX231-38-0929225.txt
['702', 'pearl', 'farming', 'operations', 'actual', 'farming', 'operations', 'described', 'culturing', 'pearls', 'japanese', 'pearl', 'productions', 'status', 'pearl', 'farming', 'production'] GX233-87-12892048.txt
['702', 'pearl', 'farming', 'operations', 'actual', 'farming', 'operations', 'described', 'culturing', 'pearls', 'japanese', 'pearl', 'productions', 'status', 'pearl', 'farming', 'production'] GX243-37-9114283.txt
['702', 'pearl', 'farming', 'operations', 'actual', 'farming', 'operations', 'described', 'culturing', 'pearls', 'japanese', 'pearl', 'productions', 'status', 'pearl', 'farming', 'production'] GX004-81-3891531.txt
['702', 'pearl', 'farming', 'operations', 'actual', 'farming', 'operations', 'described', 'culturing', 'pearls', 'japanese', 'pearl', 'productions', 'status', 'pearl', 'farming', 'production'] GX239-50-7698871.txt
['702', 'pearl', 'farming', 'operations', 'actual', 'farming', 'operations', 'described', 'culturing', 'pearls', 'japanese', 'pearl', 'productions', 'status', 'pearl', 'farming', 'production'] GX059-28-7601493.txt
['702', 'pearl', 'farming', 'operations', 'actual', 'farming', 'operations', 'described', 'culturing', 'pearls', 'japanese', 'pearl', 'productions', 'status', 'pearl', 'farming', 'production'] GX006-18-8115779.txt
['702', 'pearl', 'farming', 'operations', 'actual', 'farming', 'operations', 'described', 'culturing', 'pearls', 'japanese', 'pearl', 'productions', 'status', 'pearl', 'farming', 'production'] GX252-16-4340076.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX268-44-14627838.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX232-96-13853404.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX233-57-9641546.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX003-92-12811903.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX268-43-6949758.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX255-12-5994883.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX107-37-1949333.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX267-03-0676598.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX251-14-6295896.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX051-08-2365574.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX004-61-13204251.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX242-31-12779636.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX043-67-7049410.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX254-69-16404072.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX034-61-5088345.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX261-08-5588508.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX234-88-15442725.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX267-71-9676324.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX267-57-14720787.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX264-53-2498381.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX243-69-8515401.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX240-66-1033049.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX263-87-11282641.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX232-84-11687135.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX027-40-2005861.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX012-45-6907071.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX006-18-8115779.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX004-20-13012991.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX243-53-9773471.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX252-48-11793468.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX058-21-0044283.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX256-79-0365749.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX009-65-1341648.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX228-80-9569149.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX237-37-9058434.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX002-65-16421538.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX043-21-11581496.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX243-02-1414432.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX042-12-4581399.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX244-19-16632179.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX230-85-6655296.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX046-56-1876649.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX254-12-14655257.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX234-67-8797411.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX237-31-16468550.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX008-25-4538957.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX252-95-7775147.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX024-24-13182294.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX264-48-1955357.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX030-31-5666563.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX265-50-0825207.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX261-92-9974244.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX261-03-9419964.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX055-86-16483576.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX238-03-3210798.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX257-23-14105637.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX256-19-8483596.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX226-90-5778021.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX270-83-7497740.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX256-23-2922415.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX226-66-11702978.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX255-59-12399984.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX269-99-2649484.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX230-48-1328710.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX260-73-13860753.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX229-63-6911948.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX234-98-4792896.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX233-78-16483183.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX264-99-6015005.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX251-43-4660999.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX252-94-7854611.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX269-97-3919248.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX230-86-9717699.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX231-38-0929225.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX099-32-13472709.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX269-64-13200312.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX262-64-14234180.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX251-04-10627624.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX086-79-5857455.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX268-96-16121091.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX254-17-3441663.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX000-56-16493385.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX055-95-10271296.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX254-09-12950315.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX056-31-4159149.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX262-08-5685957.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX012-52-3036515.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX038-10-6233009.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX262-20-16148678.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX046-71-7686865.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX001-79-3175557.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX041-20-3113889.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX004-76-11859934.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX252-81-5773512.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX037-74-6961012.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX066-32-13481922.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX031-89-12713445.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX235-00-5849063.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX260-95-8474615.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX012-62-8042090.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX074-94-8673435.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX008-29-13877144.txt
['704', 'goals', 'political', 'views', 'green', 'party'] GX270-47-8433846.txt
['705', 'identify', 'efforts', 'proposed', 'undertaken', 'world', 'governments', 'seek', 'reduction', 'iraqs', 'foreign', 'debt'] GX055-95-10271296.txt
['705', 'identify', 'efforts', 'proposed', 'undertaken', 'world', 'governments', 'seek', 'reduction', 'iraqs', 'foreign', 'debt'] GX062-45-7421279.txt
['705', 'identify', 'efforts', 'proposed', 'undertaken', 'world', 'governments', 'seek', 'reduction', 'iraqs', 'foreign', 'debt'] GX008-71-13615464.txt
['705', 'identify', 'efforts', 'proposed', 'undertaken', 'world', 'governments', 'seek', 'reduction', 'iraqs', 'foreign', 'debt'] GX256-12-6783569.txt
['705', 'identify', 'efforts', 'proposed', 'undertaken', 'world', 'governments', 'seek', 'reduction', 'iraqs', 'foreign', 'debt'] GX256-47-3100554.txt
['705', 'identify', 'efforts', 'proposed', 'undertaken', 'world', 'governments', 'seek', 'reduction', 'iraqs', 'foreign', 'debt'] GX256-03-0400508.txt
